6938_8#19,7054_6#2,6805_3#8,6641_6#6,6805_5#6,6807_2#15,6753_1#5,6753_2#22,6755_3#22,6649_8#14
6938_8#19,0,10.4775044991,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
7054_6#2,10.4775044991,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6805_3#8,Inf,Inf,0,2.98560287942415,Inf,Inf,Inf,Inf,Inf,Inf
6641_6#6,Inf,Inf,2.98560287942415,0,Inf,Inf,Inf,Inf,Inf,Inf
6805_5#6,Inf,Inf,Inf,Inf,0,7.60387922415527,7.75484903019401,9.10757848430307,8.21615676864631,7.28674265146979
6807_2#15,Inf,Inf,Inf,Inf,7.60387922415527,0,7.2995400919817,8.65226954609074,7.76084783043393,6.83143371325741
6753_1#5,Inf,Inf,Inf,Inf,7.75484903019401,7.2995400919817,0,8.80323935212965,7.91181763647275,6.98240351929619
6753_2#22,Inf,Inf,Inf,Inf,9.10757848430307,8.65226954609074,8.80323935212965,0,6.91181763647279,5.98240351929615
6755_3#22,Inf,Inf,Inf,Inf,8.21615676864631,7.76084783043393,7.91181763647275,6.91181763647279,0,5.09098180363922
6649_8#14,Inf,Inf,Inf,Inf,7.28674265146979,6.83143371325741,6.98240351929619,5.98240351929615,5.09098180363922,0
