7054_4#15,6938_5#16,7004_6#25,7054_6#21,6899_7#9,6805_6#11,6805_3#6,6925_7#10,6925_7#20,6807_3#7
7054_4#15,0,0,0,0,0,0,0,0,0,0
6938_5#16,0,0,0,0,0,0,0,0,0,0
7004_6#25,0,0,0,0,0,0,0,0,0,0
7054_6#21,0,0,0,0,0,0,0,0,0,0
6899_7#9,0,0,0,0,0,0,0,0,0,0
6805_6#11,0,0,0,0,0,0,0,0,0,0
6805_3#6,0,0,0,0,0,0,0,0,0,0
6925_7#10,0,0,0,0,0,0,0,0,0,0
6925_7#20,0,0,0,0,0,0,0,0,0,0
6807_3#7,0,0,0,0,0,0,0,0,0,0
