7054_4#15,6938_5#16,7004_6#25,7054_6#21,6899_7#9,6805_6#11,6805_3#6,6925_7#10,6925_7#20,6807_3#7
7054_4#15,0,11.2453509298139,12.3299340131972,13.9838032393521,12.1991601679663,12.859028194361,12.4765046990601,14.3179364127175,14.5420915816836,9.1541691661667
6938_5#16,11.2453509298139,0,10.0115976804638,11.6654669066186,9.88082383523285,10.5406918616276,10.1581683663265,11.9996000799839,12.2237552489501,8.64707058588275
7004_6#25,12.3299340131972,10.0115976804638,0,11.2123575284943,9.42771445710851,10.0875824835032,9.70505898820227,11.5464907018596,11.7706458708257,9.73165366926598
7054_6#21,13.9838032393521,11.6654669066186,11.2123575284943,0,9.33233353329328,9.99220155968795,9.60967806438703,11.4511097780443,11.6752649470105,11.3855228954208
6899_7#9,12.1991601679663,9.88082383523285,9.42771445710851,9.33233353329328,0,6.73985202959415,6.35732853429319,8.19876024795045,8.42291541691665,9.60087982403507
6805_6#11,12.859028194361,10.5406918616276,10.0875824835032,9.99220155968795,6.73985202959415,0,4.17536492701451,7.5972805438912,7.82143571285747,10.2607478504298
6805_3#6,12.4765046990601,10.1581683663265,9.70505898820227,9.60967806438703,6.35732853429319,4.17536492701451,0,7.21475704859036,7.43891221755657,9.87822435512885
6925_7#10,14.3179364127175,11.9996000799839,11.5464907018596,11.4511097780443,8.19876024795045,7.5972805438912,7.21475704859036,0,4.86322735452907,11.7196560687861
6925_7#20,14.5420915816836,12.2237552489501,11.7706458708257,11.6752649470105,8.42291541691665,7.82143571285747,7.43891221755657,4.86322735452907,0,11.9438112377524
6807_3#7,9.1541691661667,8.64707058588275,9.73165366926598,11.3855228954208,9.60087982403507,10.2607478504298,9.87822435512885,11.7196560687861,11.9438112377524,0
