6807_1#24,6736_8#17,6805_5#12,6680_7#19,6925_8#2,6925_4#12,6972_2#13,7054_5#14,6680_8#18,6630_2#15,6949_2#24,6680_7#3,6730_5#24,6805_2#4,6925_6#5,7004_6#44,6840_1#10,6949_2#7,6755_4#5,6949_3#14,6631_7#12,6649_7#14,6949_1#9,6823_3#2,6775_2#9,6823_5#20,6730_1#7,6983_3#61,6938_5#14,7004_7#62,7038_8#27,6972_4#11,6899_5#13,6972_3#1,6949_3#2,6731_4#7,6736_5#20,6259_7#4,6736_7#21,6925_5#14,6680_4#6
6730_5#24,Inf,Inf,Inf,10.8038392321536,17.2789442111576,16.4251149770046,18.114377124575,21.7084583083378,6.72965406918629,7.882223555289,11.1939612077582,2.98820235952813,0,11.1025794841033,13.9312137572486,16.2085582883423,12.7484503099378,14.6898620275942,9.2563487302539,14.2065586882622,6.1109778044393,5.76624675064993,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6805_2#4,Inf,Inf,Inf,16.5218956208758,22.99700059988,22.1431713657266,23.8324335132969,27.4265146970608,12.4477104579086,13.6002799440113,16.9120175964807,12.4339132173565,11.1025794841033,0,5.11977604479101,9.22875424915004,15.6102779444112,17.5516896620675,12.1181763647269,17.0683863227354,8.97280543891224,8.62807438512287,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6925_6#5,Inf,Inf,Inf,19.350529894021,25.8256348730253,24.9718056388722,26.6610677864427,30.2551489702062,15.2763447310537,16.4289142171563,19.7406518696257,15.2625474905019,13.9312137572486,5.11977604479101,0,12.0573885222954,18.4389122175562,20.3803239352123,14.9468106378725,19.8970205958805,11.8014397120575,11.4567086582682,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
7004_6#44,Inf,Inf,Inf,21.6278744251147,28.1029794041189,27.249150169966,28.9384123175366,32.5324935012999,17.5536892621475,18.7062587482505,22.0179964007197,17.5398920215955,16.2085582883423,9.22875424915004,12.0573885222954,0,20.7162567486499,22.6576684663065,17.2241551689661,22.1743651269744,14.0787842431513,13.734053189362,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6840_1#10,Inf,Inf,Inf,18.1677664467105,24.6428714257146,23.7890421915616,25.4783043391322,29.0723855228955,14.0935812837433,15.2461507698459,18.5578884223153,14.0797840431914,12.7484503099378,15.6102779444112,18.4389122175562,20.7162567486499,0,6.31653669266156,7.85322935412934,12.8034393121374,10.6186762647468,10.2739452109576,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6949_2#7,Inf,Inf,Inf,20.1091781643669,26.5842831433713,25.7304539092181,27.4197160567886,31.013797240552,16.0349930013996,17.1875624875025,20.4993001399717,16.0211957608477,14.6898620275942,17.5516896620675,20.3803239352123,22.6576684663065,6.31653669266156,0,9.79464107178541,14.7448510297939,12.5600879824032,12.215356928614,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6755_4#5,Inf,Inf,Inf,14.6756648670266,21.1507698460306,20.296940611877,21.9862027594478,25.580283943211,10.6014797040589,11.7540491901619,15.0657868426315,10.5876824635072,9.2563487302539,12.1181763647269,14.9468106378725,17.2241551689661,7.85322935412934,9.79464107178541,0,7.13537292541498,7.1265746850629,6.78184363127365,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6949_3#14,Inf,Inf,Inf,19.6258748250348,26.1009798040388,25.2471505698857,26.9364127174561,30.5304939012197,15.5516896620676,16.7042591481702,20.0159968006397,15.5378924215157,14.2065586882622,17.0683863227354,19.8970205958805,22.1743651269744,12.8034393121374,14.7448510297939,7.13537292541498,0,12.076784643071,11.7320535892818,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6631_7#12,Inf,Inf,Inf,11.5302939412117,18.0053989202157,17.1515696860625,18.8408318336332,22.4349130173961,7.45610877824463,8.60867826434701,11.9204159168165,7.44231153769257,6.1109778044393,8.97280543891224,11.8014397120575,14.0787842431513,10.6186762647468,12.5600879824032,7.1265746850629,12.076784643071,0,1.57328534293137,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6649_7#14,Inf,Inf,Inf,11.1855628874223,17.6606678664266,16.8068386322734,18.4961007798439,22.090181963607,7.1113777244553,8.26394721055795,11.5756848630273,7.09758048390339,5.76624675064993,8.62807438512287,11.4567086582682,13.734053189362,10.2739452109576,12.215356928614,6.78184363127365,11.7320535892818,1.57328534293137,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
