BAPS,sub.tree.size
12,2
12,3
12,2
12,9
12,2
12,10
12,3
12,22
12,6
12,8
12,5
12,16
12,3
12,3
12,6
12,2
12,2
12,2
12,4
12,3
12,6
12,4
12,3
12,8
12,2
