6775_2#15,6899_7#14,6753_3#16,6840_3#9,6925_7#5,6631_4#6,6731_4#22,6680_4#3
6775_2#15,0,7.10217956408728,5.82163567286546,6.25614877024604,Inf,Inf,Inf,Inf
6899_7#14,7.10217956408728,0,5.36532693461307,5.79984003199365,Inf,Inf,Inf,Inf
6753_3#16,5.82163567286546,5.36532693461307,0,4.5172965406918,Inf,Inf,Inf,Inf
6840_3#9,6.25614877024604,5.79984003199365,4.5172965406918,0,Inf,Inf,Inf,Inf
6925_7#5,Inf,Inf,Inf,Inf,0,6.37632473505305,Inf,Inf
6631_4#6,Inf,Inf,Inf,Inf,6.37632473505305,0,Inf,Inf
6731_4#22,Inf,Inf,Inf,Inf,Inf,Inf,0,6.44611077784452
6680_4#3,Inf,Inf,Inf,Inf,Inf,Inf,6.44611077784452,0
