6938_8#18,7004_8#75,6949_4#19,6805_5#23,6871_2#3,6731_6#5,6805_3#2,6805_3#14,7038_7#5,6983_4#92,6972_4#16,6972_4#15,6925_4#14,6925_8#14,7004_7#60,7038_5#19,6823_7#6,7054_5#13,6949_4#4,6807_1#5,7004_5#5,7004_6#34,6925_5#21,6823_5#1,6938_6#8,6753_1#14,6753_3#23,6753_2#23,6755_4#9,6736_4#12,6805_2#8,6730_5#16,6753_1#11,6840_3#22,6823_5#13,6983_4#87,6938_5#9,6807_2#22,6830_3#4,6731_6#23,6736_4#7,6680_5#14,6641_6#22,6949_3#9,7004_5#2,6805_2#19,6823_1#19,6899_7#13,6710_8#8,6631_3#17,6649_7#5,6731_5#5,6730_5#1,6630_3#5,6753_4#3,6805_7#13,6925_6#20,7068_4#14,6871_2#1,6753_4#2,6983_3#58,6736_4#21,6823_7#7,6899_5#20,6925_3#17,6949_2#8,6807_3#16,6753_2#10
6972_4#16,Inf,Inf,Inf,Inf,Inf,Inf,Inf,16.4325134973,13.5078984203159,13.0905818836233,0,3.30093981203758,10.8036392721457,13.4767046590681,14.5488902219555,15.3763247350531,12.2087582483504,12.8576284743049,12.6082783443312,10.0689862027592,12.77124575085,13.8092381523696,11.373925214957,13.1127774445113,14.8420315936811,14.708658268346,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6972_4#15,Inf,Inf,Inf,Inf,Inf,Inf,Inf,15.9538092381521,13.0291941611676,12.6118776244751,3.30093981203758,0,10.3249350129975,12.9980003999203,14.0701859628074,14.8976204759047,11.7300539892021,12.3789242151568,12.1295740851831,9.59028194361091,12.2925414917018,13.3305338932211,10.8952209558088,12.6340731853629,14.3633273345332,14.2299540091979,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6925_4#14,Inf,Inf,Inf,Inf,Inf,Inf,Inf,15.7176564687061,12.7930413917217,12.3757248550287,10.8036392721457,10.3249350129975,0,9.96560687862395,11.0377924415119,11.8652269546089,8.69766046790628,9.34653069386117,9.09718056388686,6.55788842231556,12.0563887222555,13.0943811237755,10.6590681863626,12.3979204159166,14.1271745650872,13.9938012397521,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6925_8#14,Inf,Inf,Inf,Inf,Inf,Inf,Inf,18.3907218556286,15.466106778644,15.0487902419521,13.4767046590681,12.9980003999203,9.96560687862395,0,9.03939212157557,9.86682663467284,6.69926014797068,9.67406518696234,11.77024595081,9.23095380923813,14.729454109178,15.7674465106978,13.3321335732855,15.0709858028391,16.8002399520095,16.6668666266746,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
7004_7#60,Inf,Inf,Inf,Inf,Inf,Inf,Inf,19.4629074185157,16.5382923415315,16.1209758048388,14.5488902219555,14.0701859628074,11.0377924415119,9.03939212157557,0,9.07698460307922,5.90941811637689,10.74625074985,12.8424315136976,10.3031393721252,15.8016396720657,16.8396320735849,14.4043191361729,16.1431713657266,17.8724255148968,17.739052189562,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
7038_5#19,Inf,Inf,Inf,Inf,Inf,Inf,Inf,20.2903419316129,17.3657268546288,16.9484103179361,15.3763247350531,14.8976204759047,11.8652269546089,9.86682663467284,9.07698460307922,0,5.70225954809051,11.5736852629473,13.6698660267946,11.1305738852226,16.6290741851628,17.6670665866822,15.2317536492702,16.9706058788237,18.6998600279946,18.5664867026592,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6823_7#6,Inf,Inf,Inf,Inf,Inf,Inf,Inf,17.1227754449109,14.1981603679265,13.7808438312341,12.2087582483504,11.7300539892021,8.69766046790628,6.69926014797068,5.90941811637689,5.70225954809051,0,8.40611877624454,10.5022995400916,7.96300739852042,13.4615076984603,14.4995000999796,12.0641871625676,13.8030393921221,15.5322935412918,15.3989202159568,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
7054_5#13,Inf,Inf,Inf,Inf,Inf,Inf,Inf,17.7716456708659,14.8470305938812,14.4297140571886,12.8576284743049,12.3789242151568,9.34653069386117,9.67406518696234,10.74625074985,11.5736852629473,8.40611877624454,0,11.1511697660469,8.61187762447506,14.1103779244148,15.1483703259343,12.7130573885223,14.4519096180764,16.1811637672465,16.0477904419114,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6949_4#4,Inf,Inf,Inf,Inf,Inf,Inf,Inf,17.5222955408916,14.5976804639071,14.180363927215,12.6082783443312,12.1295740851831,9.09718056388686,11.77024595081,12.8424315136976,13.6698660267946,10.5022995400916,11.1511697660469,0,5.89942011597674,13.8610277944411,14.8990201959605,12.4637072585484,14.2025594881028,15.9318136372723,15.7984403119375,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6807_1#5,Inf,Inf,Inf,Inf,Inf,Inf,Inf,14.9830033993199,12.0583883223358,11.6410717856426,10.0689862027592,9.59028194361091,6.55788842231556,9.23095380923813,10.3031393721252,11.1305738852226,7.96300739852042,8.61187762447506,5.89942011597674,0,11.3217356528694,12.3597280543892,9.92441511697622,11.6632673465303,13.392521495701,13.2591481703657,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
