6949_1#8,6949_3#10,6823_2#22,6925_5#16,6899_5#22,6899_4#18,6823_4#23,6899_5#6,7038_5#17,7038_5#18,6631_4#13,6736_7#23,6753_1#16,6807_3#11,6730_7#1,6925_8#17,6925_8#23,6938_7#13,6938_7#12,6755_6#4,6755_3#3,6805_7#17,6630_4#10,6983_6#48,6775_2#6,6775_2#7,6805_7#12,6710_7#12,6593_4#1,6641_6#21,6641_6#16
6755_6#4,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0,5.45370925814835,7.45410917816443,6.71045790841848,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6755_3#3,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,5.45370925814835,0,5.03939212157569,6.79004199160176,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6805_7#17,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,7.45410917816443,5.03939212157569,0,8.79044191161757,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6630_4#10,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,6.71045790841848,6.79004199160176,8.79044191161757,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6983_6#48,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0,10.1225754849029,10.0813837232553,Inf,Inf,Inf,Inf,Inf
6775_2#6,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,10.1225754849029,0,3.41851629674069,Inf,Inf,Inf,Inf,Inf
6775_2#7,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,10.0813837232553,3.41851629674069,0,Inf,Inf,Inf,Inf,Inf
6805_7#12,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0,4.34413117376516,Inf,Inf,Inf
6710_7#12,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,4.34413117376516,0,Inf,Inf,Inf
6593_4#1,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0,2.55148970205966,4.53389322135564
6641_6#21,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,2.55148970205966,0,4.73185362927407
6641_6#16,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,4.53389322135564,4.73185362927407,0
