6949_1#7,6823_5#17,6823_3#15,6805_6#13,6938_5#21,6938_5#22,6680_6#14,6731_4#6,6664_1#9,6680_7#5,6753_4#9,6983_5#6,6630_3#20,6983_5#10,6823_6#15,6899_7#2,6983_8#75,6925_6#19,6925_8#5,6983_7#70,7004_8#85,6731_5#6,6736_5#3,6938_3#26,6823_6#11,6259_7#2,6259_7#22,6755_3#7,6823_6#22,6805_7#2,6730_8#6,6823_1#14,6755_5#7,6899_4#17,6972_3#24,6938_8#2,6805_7#20,6823_6#8,6823_6#7,6710_7#2,7004_5#12,6755_6#20,6807_3#2,6807_1#6,6631_6#9,6823_2#16,7092_6#11
6630_3#20,Inf,Inf,Inf,Inf,Inf,Inf,8.73185362927427,10.148970205959,6.11957608478329,5.57448510297945,7.13617276544699,10.9320135972806,0,21.9284143171361,21.0199960007996,20.25574885023,20.1229754049189,19.9598080383919,19.3139372125577,21.0047990401916,22.8376324735046,14.088182363527,15.387122575485,19.8008398320334,17.8960207958407,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6983_5#10,Inf,Inf,Inf,Inf,Inf,Inf,22.4475104979,23.8646270745846,19.8352329534089,23.7224555088981,26.7562487502499,30.5520895820836,21.9284143171361,0,5.72745450909826,6.28854229154167,11.1987602479504,11.0355928814236,22.8840231953604,24.5748850229946,26.4077184563089,17.6582683463303,18.9572085582881,23.370925814837,21.466106778644,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6823_6#15,Inf,Inf,Inf,Inf,Inf,Inf,21.5390921815636,22.9562087582478,18.9268146370727,22.8140371925612,25.847830433913,29.6436712657468,21.0199960007996,5.72745450909826,0,5.38012397520478,10.2903419316136,10.1271745650869,21.9756048790237,23.6664667066584,25.4993001399716,16.7498500299938,18.0487902419515,22.4625074985001,20.5576884623069,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6899_7#2,Inf,Inf,Inf,Inf,Inf,Inf,20.7748450309932,22.1919616076782,18.1625674865025,22.0497900419909,25.0835832833433,28.879424115177,20.25574885023,6.28854229154167,5.38012397520478,0,9.52609478104343,9.36292741451678,21.2113577284542,22.9022195560883,24.735052989402,15.985602879424,17.2845430913818,21.6982603479299,19.7934413117371,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6983_8#75,Inf,Inf,Inf,Inf,Inf,Inf,20.6420715856825,22.0591881623671,18.0297940411916,21.9170165966802,24.9508098380321,28.7466506698658,20.1229754049189,11.1987602479504,10.2903419316136,9.52609478104343,0,6.27234553089406,21.0785842831429,22.7694461107774,24.602279544091,15.852829434113,17.1517696460706,21.565486902619,19.6606678664264,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6925_6#19,Inf,Inf,Inf,Inf,Inf,Inf,20.4789042191555,21.89602079584,17.8666266746653,21.7538492301533,24.7876424715057,28.5834833033393,19.9598080383919,11.0355928814236,10.1271745650869,9.36292741451678,6.27234553089406,0,20.9154169166164,22.606278744251,24.4391121775644,15.6896620675863,16.988602279544,21.4023195360922,19.4975004998997,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6925_8#5,Inf,Inf,Inf,Inf,Inf,Inf,19.8330333933211,21.250149970006,17.22075584883,21.1079784043188,24.1417716456711,27.9376124775042,19.3139372125577,22.8840231953604,21.9756048790237,21.2113577284542,21.0785842831429,20.9154169166164,0,8.38352329534103,10.2163567286538,12.1823635272943,13.4813037392523,17.895020995801,15.9902019596077,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6983_7#70,Inf,Inf,Inf,Inf,Inf,Inf,21.5238952209552,22.94101179764,18.9116176764643,22.7988402319533,25.8326334733051,29.6284743051387,21.0047990401916,24.5748850229946,23.6664667066584,22.9022195560883,22.7694461107774,22.606278744251,8.38352329534103,0,7.53769246150751,13.8732253549289,15.1721655668865,19.585882823435,17.6810637872425,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
7004_8#85,Inf,Inf,Inf,Inf,Inf,Inf,23.356728654269,24.7738452309536,20.744451109778,24.6316736652673,27.6654669066184,31.4613077384518,22.8376324735046,26.4077184563089,25.4993001399716,24.735052989402,24.602279544091,24.4391121775644,10.2163567286538,7.53769246150751,0,15.7060587882422,17.0049990001995,21.4187162567483,19.513897220556,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6731_5#6,Inf,Inf,Inf,Inf,Inf,Inf,14.6072785442909,16.0243951209758,11.9950009997998,15.882223555289,18.9160167966408,22.7118576284741,14.088182363527,17.6582683463303,16.7498500299938,15.985602879424,15.852829434113,15.6896620675863,12.1823635272943,13.8732253549289,15.7060587882422,0,4.87982403519282,11.5998800239952,9.69506098780217,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
