6805_3#5,7068_4#6,7054_6#5,7054_4#10,6983_2#9,6823_5#14,6823_7#13,6899_5#10,6938_5#12,6631_6#13,6899_6#16,6259_7#17,6805_3#19,6710_8#2,6805_2#10,6823_3#19,6823_4#21,6730_3#22,6805_2#12,6805_4#6,6938_5#15,6823_3#7,6925_8#15,6630_2#7,6736_4#1,6755_3#24,6805_6#16,6925_3#24,6736_7#2,6805_4#18,6631_5#3,6730_8#20,6805_6#23,6753_1#10,6736_8#2,6631_4#3,6631_7#14,6593_5#14,6736_6#4,6983_3#70,6925_8#24,6871_2#4,6823_4#20,6925_8#16,6630_3#17,6775_2#10,6840_3#20,6840_3#19,6631_4#2,6972_5#14,6755_5#14,6753_4#19,6925_6#7,6731_5#24,6755_4#18,6680_4#16
6899_6#16,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,8.88582283543288,0,7.0471905618876,12.3665266946609,12.227554489102,11.5926814637073,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6259_7#17,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,4.77484503099369,7.0471905618876,0,8.25554889022199,8.11657668466304,7.48170365926813,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6805_3#19,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,9.11837632473503,12.3665266946609,8.25554889022199,0,2.99240151969627,6.71185762847445,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6710_8#2,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,8.97940411917612,12.227554489102,8.11657668466304,2.99240151969627,0,6.57288542291547,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6805_2#10,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,8.34453109378128,11.5926814637073,7.48170365926813,6.71185762847445,6.57288542291547,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6823_3#19,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0,5.63147370525894,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6823_4#21,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,5.63147370525894,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6730_3#22,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0,5.59388122375533,6.23675264947014,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6805_2#12,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,5.59388122375533,0,5.67866426714663,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6805_4#6,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,6.23675264947014,5.67866426714663,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
